ticker,compound,negative,neutral,positive,no_of_posts
STU,0.53855,0.017,0.923,0.06,2
STX,0.68674,0.0162,0.9342,0.0496,5
STY,0,0,0,0,0
SUR,0.64618,0.0089,0.9605,0.0307,10
SVP,0.98794,0.0127,0.895,0.0921,10
SWM,0.5757,0.04586,0.84835,0.10576,100
SYN,-0.444115385,0.043538462,0.920615385,0.035769231,13
TAAS,-0.0772,0.008,0.986,0.007,1
TAB,0.75418,0.0315,0.8553,0.11312,100
TACO,0.9985,0.023,0.8415,0.1355,2
TASH,0.359213636,0.057954545,0.828863636,0.113409091,22
TBT,0,0,0,0,0
TCD,0,0,0,0,0
TCH,0.413715,0.0309,0.89198,0.07713,100
TCO,-0.1027,0.005,0.995,0,1
TCT,0.987541667,0.051083333,0.821583333,0.12725,12
TECT,0,0,0,0,0
THRT,0.710751,0.03923,0.84974,0.111,100
THT,0.533265,0.04585,0.85003,0.10409,100
TIME,0.49553,0.04247,0.85557,0.10195,100
TIO,0.112581,0.01849,0.95011,0.03136,100
TIP,0.75418,0.0315,0.8553,0.11312,100
TKD,0,0,0,0,0
